type,team,year,norm_epa,blue_banners,event_wins,event_finalists,total_awards,rank,elim_progression,state,worlds_winrate,worlds_qual_winrate,state_epa_rank,state_epa_percentile,total_epa_rank,total_epa_percentile,elim_alliance,elim_pick,count
regular,1,2008,1628,0,0,1,3,74.0,0,GA,0.2857,0.2857,19.0,0.8376,144.0,0.9039,,-1,
regular,1,2009,1601,0,0,1,3,62.0,0,GA,0.4286,0.4286,33.0,0.75,250.0,0.8507,,-1,
regular,1,2010,1686,0,0,1,2,80.0,0,GA,0.3,0.3,24.0,0.8235,88.0,0.9511,,-1,
regular,1,2012,1564,0,0,0,1,70.0,0,MO,0.4444,0.4444,75.0,0.6053,511.0,0.7809,,-1,
regular,1,2015,1647,0,0,0,0,40.0,0,MO,0.0,0.0,55.0,0.8406,239.0,0.9168,,3,
regular,100,2007,1819,1,1,0,3,32.0,3,GA,0.5,0.5714,4.0,0.9677,14.0,0.989,,-1,
regular,100,2008,1788,1,1,0,4,14.0,6,GA,0.6923,0.7143,4.0,0.9716,21.0,0.986,,-1,
regular,100,2010,1678,1,1,1,5,45.0,0,GA,0.55,0.55,9.0,0.9412,98.0,0.9455,,-1,
regular,100,2012,1570,0,0,0,1,89.0,0,MO,0.2222,0.2222,35.0,0.8205,468.0,0.7993,,-1,
regular,100,2015,1502,0,0,0,1,69.0,0,MO,0.0,0.0,96.0,0.5932,1228.0,0.5726,,-1,
regular,100,2018,1510,0,0,1,2,40.0,0,TX,0.5,0.5,126.0,0.5962,1527.0,0.5778,,-1,
regular,100,2023,1571,1,1,0,2,74.0,0,TX,0.2,0.2,69.0,0.7444,730.0,0.7777,,-1,
regular,1000,2011,1512,0,0,0,0,49.0,0,MO,0.5,0.5,20.0,0.4118,749.0,0.6352,,-1,
regular,1001,2007,1588,0,0,0,0,67.0,0,GA,0.3571,0.3571,3.0,0.9063,210.0,0.8346,,-1,
regular,1002,2007,1439,0,0,0,2,82.0,0,GA,0.1429,0.1429,9.0,0.1,973.0,0.2339,,-1,
regular,1002,2009,1513,0,0,0,1,8.0,2,GA,0.6667,0.8571,12.0,0.5714,657.0,0.6078,,-1,
regular,1002,2010,1522,0,0,0,2,67.0,0,GA,0.3,0.3,7.0,0.7667,606.0,0.6631,,-1,
regular,1002,2015,1526,0,0,0,0,47.0,0,MO,0.0,0.0,15.0,0.75,930.0,0.6763,,-1,
regular,1002,2017,1603,1,1,1,4,14.0,5,TX,0.6,0.6,12.0,0.8356,473.0,0.858,Alliance 3,1,
regular,1002,2018,1575,0,0,1,4,20.0,0,TX,0.6,0.6,16.0,0.8025,726.0,0.7993,,-1,
regular,101,2017,1577,0,0,0,0,65.0,0,MO,0.35,0.35,12.0,0.7857,666.0,0.8001,,-1,
regular,1011,2007,1529,0,0,0,1,32.0,0,GA,0.5714,0.5714,7.0,0.7407,410.0,0.6772,,-1,
regular,1011,2012,1539,0,0,0,3,84.0,0,MO,0.3333,0.3333,14.0,0.6818,697.0,0.7011,,-1,
regular,1011,2013,1533,0,0,0,4,58.0,0,MO,0.5,0.5,15.0,0.6591,780.0,0.6891,,-1,
regular,1011,2014,1514,0,0,0,2,96.0,0,MO,0.1,0.1,16.0,0.6667,1089.0,0.5962,,-1,
